Job runs on node:
lrdn4990
COSTTYPE=earth-mover
NUMINPUTQUBITS=8
NUMMIDDLEQUBIT=4
EPOCHS=150
OPTSTEP=0.2
BATCHSIZE=10
VALSPLIT=0.2
LISTOPSUPPORT=1 2 3
LISTOPSUPPORTPROBS=1. 1. 1.
LISTOPSUPPORTMAXRANGE=1 5 3
NO JAX
256

Epoch 31, 	Batch:7, 	Train Loss = 0.161981, 	Val Loss = 0.250746
Epoch 32, 	Batch:0, 	Train Loss = 0.181400, 	Val Loss = 0.251062
Epoch 32, 	Batch:1, 	Train Loss = 0.136283, 	Val Loss = 0.251062
Epoch 32, 	Batch:2, 	Train Loss = 0.142407, 	Val Loss = 0.251062
Epoch 32, 	Batch:3, 	Train Loss = 0.134838, 	Val Loss = 0.251062
Epoch 32, 	Batch:4, 	Train Loss = 0.162221, 	Val Loss = 0.251062
Epoch 32, 	Batch:5, 	Train Loss = 0.158953, 	Val Loss = 0.251062
Epoch 32, 	Batch:6, 	Train Loss = 0.158866, 	Val Loss = 0.251062
Epoch 32, 	Batch:7, 	Train Loss = 0.162164, 	Val Loss = 0.251062
Epoch 33, 	Batch:0, 	Train Loss = 0.182057, 	Val Loss = 0.251743
Epoch 33, 	Batch:1, 	Train Loss = 0.136311, 	Val Loss = 0.251743
Epoch 33, 	Batch:2, 	Train Loss = 0.142904, 	Val Loss = 0.251743
Epoch 33, 	Batch:3, 	Train Loss = 0.135242, 	Val Loss = 0.251743
Epoch 33, 	Batch:4, 	Train Loss = 0.162643, 	Val Loss = 0.251743
Epoch 33, 	Batch:5, 	Train Loss = 0.159449, 	Val Loss = 0.251743
Epoch 33, 	Batch:6, 	Train Loss = 0.159406, 	Val Loss = 0.251743
Epoch 33, 	Batch:7, 	Train Loss = 0.162777, 	Val Loss = 0.251743
Epoch 34, 	Batch:0, 	Train Loss = 0.182021, 	Val Loss = 0.251972
Epoch 34, 	Batch:1, 	Train Loss = 0.136968, 	Val Loss = 0.251972
Epoch 34, 	Batch:2, 	Train Loss = 0.143255, 	Val Loss = 0.251972
Epoch 34, 	Batch:3, 	Train Loss = 0.136014, 	Val Loss = 0.251972
Epoch 34, 	Batch:4, 	Train Loss = 0.163004, 	Val Loss = 0.251972
Epoch 34, 	Batch:5, 	Train Loss = 0.160226, 	Val Loss = 0.251972
Epoch 34, 	Batch:6, 	Train Loss = 0.159846, 	Val Loss = 0.251972
Epoch 34, 	Batch:7, 	Train Loss = 0.163475, 	Val Loss = 0.251972
